,LOCATION_N,Total_Pop,"Less than $25,000","$25,000 to $49,999","$50,000 to $74,999","$75,000 to $99,999","$100,000 to $149,999","$150,000 or more",ASSET_SIZE,TotalPop_Served_norm,"Less than $25,000_norm","$25,000 to $49,999_norm","$50,000 to $74,999_norm","$75,000 to $99,999_norm","$100,000 to $149,999_norm","$150,000 or more_norm",Park_Name,Total Pop Served
81,Eilers (Deep Eddy) Neighborhood Park,4495,27,22,12,6,6,6,8.976415,9,3,2,1,0,0,0,Eilers (Deep Eddy) Neighborhood Park,81
82,Elizabet Ney Museum,2418,9,23,17,12,15,19,2.5482,38,3,9,7,4,5,7,Elizabet Ney Museum,98
83,Ellen Higgins Pocket Park,2236,6,9,14,17,10,6,0.61,109,11,15,24,29,17,11,Ellen Higgins Pocket Park,66
84,Emma Long Metro Park,5961,17,24,33,14,35,84,1109.27531553,0,0,0,0,0,0,0,Emma Long Metro Park,210
85,Forest North Neighborhood Park,953,3,12,18,3,7,5,2.486,20,1,4,7,1,2,2,Forest North Neighborhood Park,50
86,Gaines Creek Neighborhood Park,3485,3,6,9,10,14,30,37.92,1,0,0,0,0,0,0,Gaines Creek Neighborhood Park,74
87,Gaines Greenbelt,2249,9,18,17,16,17,18,94.04,1,0,0,0,0,0,0,Gaines Greenbelt,98
88,Gaines Park at Barton Creek Greenbelt,1464,0,0,0,0,1,4,6.0148,1,0,0,0,0,0,0,Gaines Park at Barton Creek Greenbelt,6
89,Garrison District Park,1957,16,24,29,24,24,15,40.0,3,0,0,0,0,0,0,Garrison District Park,135
90,George Washington Carver Museum,525,12,3,2,4,3,2,0.29825221,101,42,12,9,13,13,9,George Washington Carver Museum,30
91,Georgian Acres Neighborhood Park,1721,77,78,34,5,7,0,4.997,40,15,15,6,1,1,0,Georgian Acres Neighborhood Park,202
92,Gillis Neighborhood Park,2053,21,36,30,19,14,15,7.8,17,2,4,3,2,1,1,Gillis Neighborhood Park,137
93,Givens District Park,3645,32,27,25,21,12,7,41.43280472,3,0,0,0,0,0,0,Givens District Park,126
94,Goat Cave Karst Nature Preserve,3369,12,21,29,34,53,9,14.86917361,10,0,1,2,2,3,0,Goat Cave Karst Nature Preserve,162
95,Govalle Neighborhood Park,1267,11,4,14,10,6,4,26.314,1,0,0,0,0,0,0,Govalle Neighborhood Park,51
96,Gracywoods Neighborhood Park,3919,31,59,35,15,24,13,19.16894226,9,1,3,1,0,1,0,Gracywoods Neighborhood Park,179
97,Grand Meadow Neighborhood Park,2504,1,12,13,19,16,6,9.926,7,0,1,1,2,1,0,Grand Meadow Neighborhood Park,69
98,Great Hills Neighborhood Park,6027,82,237,124,164,176,146,76.05124007,12,1,3,1,2,2,1,Great Hills Neighborhood Park,932
99,Gregg Hill Pocket Park,1789,13,12,23,5,15,22,1.51,61,8,8,15,3,10,14,Gregg Hill Pocket Park,92
100,Grey Rock Golf Course,4514,6,17,26,26,83,162,296.9573,1,0,0,0,0,0,0,Grey Rock Golf Course,322
101,Gullett School Park,1454,10,20,13,15,27,20,14.58,7,0,1,0,1,1,1,Gullett School Park,108
